序号	类型	作者/项目/版本	国别	仓库地址	用途	是否捐赠基金会	对应事项
33	开源组件	dynamic-datasource-spring-boot-starter/3.5.2	未知	pkg:maven/com/baomidou/dynamic-datasource-spring-boot-starter@3.5.2?type=jar	Spring应用开发框架	否	动态链接
34	开源组件	snakeyaml/${version}	未知	pkg:maven/org/yaml/snakeyaml@${version}?type=jar	暂无	否	动态链接
35	开源组件	jaxb-api/${version}	未知	pkg:maven/javax/xml/bind/jaxb-api@${version}?type=jar	暂无	否	动态链接
36	开源组件	spring-boot-starter-data-redis/${version}	美国	pkg:maven/org/springframework/boot/spring-boot-starter-data-redis@${version}?type=jar	Spring应用开发框架	否	动态链接
37	开源组件	commons-pool2/${version}	美国	pkg:maven/org/apache/commons/commons-pool2@${version}?type=jar	暂无	否	动态链接
38	开源组件	javax.servlet-api/${version}	未知	pkg:maven/javax/servlet/javax.servlet-api@${version}?type=jar	暂无	否	动态链接
39	开源组件	gson/${version}	美国	pkg:maven/com/google/code/gson/gson@${version}?type=jar	暂无	否	动态链接
40	开源组件	spring-boot-starter-web/${version}	美国	pkg:maven/org/springframework/boot/spring-boot-starter-web@${version}?type=jar	Spring应用开发框架	否	动态链接
41	开源组件	spring-boot-starter-aop/${version}	美国	pkg:maven/org/springframework/boot/spring-boot-starter-aop@${version}?type=jar	Spring应用开发框架	否	动态链接
42	开源组件	quartz/${version}	未知	pkg:maven/org/quartz-scheduler/quartz@${version}?type=jar	定时任务调度	否	动态链接
